company,datePublished,ratingValue,reviewBody
Wayfair Canada,2021-02-12T15:55:46+00:00,1,Purchased a portable fridge / Freezer. When I did not get it quickly I went on line and discovered that they had lowered the price by $150 plus the appropriate  tax of 13%. I contacted customer service to request a price adjustment but was told that they do not do that. In fact their representative had a very non caring attitude and said that they don’t ask for money if the price goes up. I was told that if I refused delivery that I may have a problem getting my account refunded. I emailed Wayfair with my issue and a request for a senior customer service representative to contact me . To date I have not heard back from anyone. I now have the product delivered and have not opened it yet as I do not want any excuses not to refund my account when I return the item. If Wayfair is interested in customer service the should be addressing their customers complaints. I do not think that it is unreasonable to request a price adjustment especially when the customer has not even taken delivery of the item. Hoping for a satisfactory resolution to this complaint other than returning the item
Wayfair Canada,2021-02-11T13:36:55+00:00,1,"I ordered 6 chairs with a table.  I received first 3 chairs that were a wrong color but after I reached out to customer service and got a bit of a discount, I received the rest of the shipment with some defect and a bug in my package. 
I would have to think twice about reordering again."
Wayfair Canada,2021-02-10T23:33:02+00:00,1,"Really bad company. They do not deliver on the date they stated they would deliver. So I asked for a refund. 

They then said the purolator driver had a breakdown, which is a lie, as I saw the the driver's  truck outside, and got his message that he attempted deliver, but I was here and got no notice of a delivery attempt.

They then then said the item would have to be delivered before I could get a refund!

Lol, what a pile of crap!

Do not buy from this company! They are a scam!"
Wayfair Canada,2021-02-10T20:04:02+00:00,1,"This company has the worst service i have ever experienced online.  I ordered blinds in November 2019. They have lost them 2 times so far. I receive one on February 6, 2020 and the other 2 are being resent for the 3rd time.

As of February, 10, 2020 they still have no delivery date for my remaining blinds and will not expedite the delivery. They simply say it is not possible. 

I have called repeatedly and been disconnected over and over. They have had my money for over 3 months yet I still do not have my product.

I will never order from this place again and I highly recommend you consider elsewhere before ordering."
Wayfair Canada,2021-02-08T23:10:05+00:00,1,"They have great options for unique products, but not reliable to deliver on time or hold themselves accountable for their poor business design. If you have 2-3 months to wait for your item, could be good. But if you need it within their delivery timeframe (normally 2-3 weeks), DO NOT USE THEM. It is close to mid February and I'm still waiting on items ordered early January. It was supposed to arrive January 26th, then Feb 15th, then Feb 19th...just checked again and now its feb 23rd. Betting that will change again. Terrible experience. Aweful!!"
Wayfair Canada,2021-02-07T15:43:37+00:00,1,"From time to time, I have visited the Wayfair.ca site to compare shop. I have yet to buy anything because I find the prices quite high overall. Fabrics are very expensive and for some reason Wayfair sells by the yard. The yard!!!... in Canada! I give up! I'm finding good quality products elsewhere at very reasonable prices and no longer see the point in visiting Wayfair anymore. I have in the meantime found quality & reasonably priced fabrics sold by the metre via several Canadian online stores not to mention other items for my household."
Wayfair Canada,2021-02-06T22:54:07+00:00,1,"I had read many negative reviews of Wayfair, but the products looked so good on the site. We took a chance and ordered a make-up vanity for $300. It ended up being the BIGGEST hunk of junk imaginable. Pieces of cheap OSB, flimsy, crooked junk. Never again!!!!"
Wayfair Canada,2021-02-06T03:09:03+00:00,1,"I ordered a Treanor Floating Desk and waiting about 3 weeks for it to come in, not complaining how long it took to deliver, but, when I opened up my package there where missing nails, parts, and the instructions to build this desk was absolutely horrible and confusing. I didn’t want to email them explaining that there where nails missing and that I had to improvise with my own because I wasn’t about to wait another 3 weeks and didn’t wanna deal with the hassle with returning the whole desk as I am in need of one urgently. I think it’s safe to say I will never order from here again, back to IKEA I go."
Wayfair Canada,2021-02-05T18:49:21+00:00,1,We placed an order Wayfair and the delivery was supposed to be 3 - 5 days and it has been 4 weeks and they just keep making excuses .We had to cancel a plumber twice at our expense and Wayfair hasn't even offered any compensation will never deal with them again
Wayfair Canada,2021-02-04T12:17:48+00:00,1,Placed order and received wrong item. Sent back and was charged for returning.Not happy for first time user.Still waiting on refund
Wayfair Canada,2021-02-04T04:38:28+00:00,1,"I was looking for an item to receive it as fast as it was possible. After checking in multiple stores I decided to purchase the item from Wayfair as it was going to be delivered in the next 3 days. The item didn't arrive and still hasn't been shipped. In fact the order now says that it will arrive 16 days later than the original estimation. That's too late for my needs so I went to cancel the order, but I was shocked when I was told that t wasn't possible (even if it hasn't shipped yet at the time of writing this review). I was told to return the item once I receive it, but they will charge me $12 for doing the return. It's a total nonsense.

I don't recommend Wayfair at all. You don't have any protection as a customer for all the things that can go wrong that are usually their fault."
Wayfair Canada,2021-02-03T14:54:22+00:00,1,"TOTAL SCAM, I spent 2 nights preparing a HUGE order for my house renovations, then paid and received a confirmation, then 2 days later order was cancelled without any excuses, and no customer service picks the phone for an hour now"
Wayfair Canada,2021-02-03T00:36:17+00:00,1,Wayfair bunch of Peta-files do SRC USA google search
Wayfair Canada,2021-02-02T19:59:42+00:00,2,"Wayfair  puts  you on a black list if you return or complain about too many things.....which you will as their items of the  past year and half sub standard and now over priced. I am trying to return (this the last of 7)  Bernadine Chinchilla Faux Fur Throw by Union Rustic $192 lg (and dry clean only -too boot) one with tax  a bday gift looked like the cat after it had a bath and half dry now I am to their ""management team"" for too many complaints and returns . AVOID SHOPPING HERE IF YOU CAN  I know its hard to do during lockdown but it is  a colossal waste of your time and money sanity  and re  wrapping sending back or  just re shopping and giving to the shelter at YOUR EXPENSE TO TAKE THERE  THEN YOU PAY TO SEND IT BACK EVEN THOUGH YOU SEND PHOTOS OF THE OBVIOUS PROBLEMS YOU PAY TO SHIPBACK ...THAT IS NOT CUSTOMER SERVICE IF THAT EVEN EXISTS THESE DAYS. MIND YOU THEY WERE ""NICE"" TO ME SEEINGS i HAVE SPENT THOUSANDS THERE BUT NOT NOW BLACK LISTED WITH TOO MANY COMPLAINTS OF THEIR BARGAN STORE PRODUCTS FROM CHINA NOW AND INDIA AND HORRID SHIPPING NO COVERINGS ON ITEMS  THROWN IN WEAK  BOXES DUSTY DIRTY FROM SNOW  SALT SAND GETTING IN BATTERED  BOXES ON TO THE ITEM NOT COVERED AND  DURING COVID!!! YES I AM  ANGRY AND I WRITE ONLINE SHOPPING BLOGS FOR 23 DIFFERENT SITES AND HAVE MY OWN YOUTUBE SITE.....WRONG PERSON...PLUS SO MANY COMPLAINTS ON  HERE AND THE OTHER SITES ..unfortunately I'm in a small town all stores selling these goods where you can actually look feel see return them closed so stuck here and  ebay...same thing..WAY NOT FAIR higher prices wayfair plus you read the reviews hoping legit but get something different not even packed the same wth I wish i could post the  photo it is to be and what i got  here but on my sitejabber and yelp ect"
Wayfair Canada,2021-02-01T23:53:36+00:00,1,"Paid $70 for some ""blackout curtains"" that took around 3 months to arrive and they are certainly not blackout. In fact they are just fabric they haven't even been sewn with holes to put curtain hooks in! Absolute waste of money. None of the description or photos matched the received product, these ""curtains"" are about 20cm width and not that long, they're literally just sample bits of fabric, I was totally mislead. They have made it impossible to return, so I'd REALLY like a refund - especially being unemployed now due to the pandemic, think I'd benefit much more from having the $70 than this company that keeps ripping people off. I had heard really good things about Wayfair so am very disappointed my order wasn't like I had expected."
Wayfair Canada,2021-02-01T18:15:36+00:00,1,Made an order and then right afterwards discovered was wrong size. Requested cancellation within minutes of ordering but received a email next day that order cannot be cancelled as already shipped. What a farce and wayfair is a bunch of liars as there is no way was shipped within minutes of ordering. I will never buy anything with wayfair ever again as they are scammers!!
Wayfair Canada,2021-02-01T16:14:47+00:00,1,Price fluctuations and sneaky online price changes. Have to be carful before ordering from Wayfair until they go back to providing a price adjustment and better return policies.
Wayfair Canada,2021-01-31T23:01:24+00:00,1,"Wayfair sells cheap and products which have little or no value. Then when you have a complaint, they wash their hands and tell you to contact someone else, even though you purchased the product from them.  Wayfair is a joke of a company and we should all boycott buying from this company. Most of their products are from China anyway - cheap!!!!!! and not well made.  Wayfair is a disgrace!"
Wayfair Canada,2021-01-31T03:09:17+00:00,1,"I would recommend that no one EVER buy ANYTHING from wayfair. I ordered a desk for my teen daughter for Christmas in early november which was supposed to arrive in 2 weeks, it has been 12 weeks now and no item, no refund. I have complained many times to their customer service email and still no one has been able to refund me or get a desk to me. This is a seller that will NOT make mistakes right. It feels like I have been robbed for hundreds of dollars by wayfair."
Wayfair Canada,2021-01-29T15:20:18+00:00,2,I have ordered previously from Wayfair. It was easy to order but in asking questions about replacement parts l was brushed off several times. The only answer l got when asking where l could get a replacement filter for an air purifier was that it comes with a filter. I don't care if l have to call China fir it but not answering a simple but important aspect of the purchase. I have to assume l bought a disposable product that l simply throw away when the filter needs replacing. I will not order from Wayfair again.
Wayfair Canada,2021-01-28T20:45:43+00:00,4,"Fast delivery of my order, but not very good quality of the delivered table. I will be more careful before I choose what to buy next time."
Wayfair Canada,2021-01-28T01:37:16+00:00,1,I received two dining room chairs. One arrived in a box that had very obviously been opened previously and taped back up. It arrived WITH NO LEGS or hardware or hardware. So I then had to make a request to send the legs and hardware and it was very clear that this must happen often because they have this set up on the order listing. So I now have a chair laying on my floor that I cannot use and have no idea how long the parts will take to arrive. I'm shocked that this box was not checked at all before being shipped. Not impressed at all.
Wayfair Canada,2021-01-26T20:22:45+00:00,1,"First time I've ever ordered from Wayfair. Ordered a console table.Cheap material which was okay but parts didn't line up. There's no one to talk with at Wayfair. You have to email and send photos. 
 I won't be ordering anything from them again."
Wayfair Canada,2021-01-25T21:31:50+00:00,1,"Ordered a rug, when it came it was not .37"" pile height as described on the item description, it was barely .25"" and very, very thin.  This is either a defective item, or very misleading information on the item.  The rug had very high reviews and many of them (over 42 000), but only a couple from the past few months.  

Anyway, I requested a refund but they only offered 3 options - 2 require you to return the item, which costs ME money (how is that even fair if the item is defective?) or you do not receive a full refund.  The other option is to keep the item but you only receive a partial refund; just a measly 20%.  I have pictures to prove how thin the rug is and how inaccurate the description is; why can't I get a full refund?  On top of that, nowhere in this process allows you to say what the actual issue is, you just have vague options to choose from.  I selected 'problem with the fabric' but I really wanted to describe what the issue was..how else will Wayfair know there is an issue?

And finally the icing on the cake is that because I got a partial refund, I cannot leave a review.  So that means that the only people that can leave a review are those that are either completely happy with their purchase or that have taken a complete loss.  Which means the reviews are *completely* inaccurate.  It's no wonder the reviews are so good!  I just couldn't figure out why no one mentioned how threadbare the rug is; well, that's why - no ability to leave a review.  It's false advertising and it's sneaky, and now later customers can stumble upon the same rug and make the same, disappointing purchase with no satisfactory way to resolve the situation.  By the way, the seller was Dakota Fields but the actual rug brand was nuLOOM.  Shop elsewhere!"
Wayfair Canada,2021-01-22T17:49:52+00:00,1,"The worthless company, just cheating. They postponed my delivery several times without notice   that I had to refund it and they didn't even say sorry."
Wayfair Canada,2021-01-21T23:43:22+00:00,1,I PURCHASED TWO MATTRESS COVERS WITH THE BRAND NAME OF WHITE NOISE AND I RECEIVED TWO MATTRESS COVERS WITH A DIFFERENT BRAND NAME AND MANUFACTURE. they stated they have the right to change the name without informing me
Wayfair Canada,2021-01-21T22:30:45+00:00,1,I work as an interior designer and have always used wayfair due to their easy return policy and procedures. This time I tried to return something that has been delayed twice now and take over a month to ship before it arrived and the girl on the other line was screaming at me and being terribly rude  I couldn’t believe it there was no argument to be had. There shouldn’t have been any issues with this simple return especially since it was due to their error. Will not go back to using wayfair again
Wayfair Canada,2021-01-19T11:07:18+00:00,2,"I have been shopping at Wayfair for a few years now. I have shopped both for personal and business. Never had a problem, not even once. Until I encountered their Customer Service Dept.

What a disgraceful adventure that has been. I can see where one person might ignore you, but 2? 𝗔𝗻𝗱 𝘁𝗵𝗲 𝘀𝗲𝗰𝗼𝗻𝗱 𝘄𝗮𝘀 𝗮 𝗠𝗮𝗻𝗮𝗴𝗲𝗿!

So I needed a small chandelier for a closet. I was looking at Wayfair's selection just after Christmas and was happy to find an open box one for $36. Regular price, $169! (all prices are approx.) I hit the red letters to add it to my cart, but it wouldn't take me there. I tried logging out, and back in again; I even tried uninstalling the App and re-installing. Zippo. Obviously a 𝘁𝗲𝗰𝗵𝗻𝗶𝗰𝗮𝗹 𝗴𝗹𝗶𝘁𝗰𝗵?

So I emailed the issue to them and a Dana A helped me. After the whole back and forth email episode, she offered to order it for me. That was great.

A few days later I went online to check some other orders, which 𝗦𝗧𝗜𝗟𝗟 haven't arrived to date; and I noticed there was no chandelier in my orders! I had not rec'd any confirmations, nothing. So I called. ✵𝒓𝒐𝒍𝒍𝒔 𝒆𝒚𝒆𝒔✵

The Manager I was put through to was very nice, very chatty, but professional. Btw, these ""customer service"" folks, work from home! I could hear her bird and child in the background.

Anyway Ms Nice Manager (Chelsea G.) asked me to send her all the emails, and screenshots. Which I did...a week ago. Guess what? Nothing. Nada. Zilch!

No confirmation of receipt, no email bounce. Just thin air. 𝗧𝗵𝗶𝘀 𝗶𝘀 𝘁𝗵𝗲 𝗸𝗶𝗻𝗱 𝗼𝗳 𝗰𝘂𝘀𝘁𝗼𝗺𝗲𝗿 𝘀𝗲𝗿𝘃𝗶𝗰𝗲 𝘁𝗵𝗮𝘁 𝗺𝗮𝗸𝗲𝘀 𝗰𝗹𝗶𝗲𝗻𝘁𝘀 𝘄𝗮𝗹𝗸. 𝗜𝗻𝗰𝗹𝘂𝗱𝗶𝗻𝗴 𝗼𝗻𝗲𝘀 𝘄𝗵𝗼 𝗵𝗮𝘃𝗲 𝗽𝗿𝗲𝘃𝗶𝗼𝘂𝘀𝗹𝘆 𝘀𝗽𝗲𝗻𝘁 𝘁𝗵𝗼𝘂𝘀𝗮𝗻𝗱𝘀 𝗼𝗳 𝗱𝗼𝗹𝗹𝗮𝗿𝘀!

So after my card is paid off next month, I will be cutting it up. I cannot work with shoddy customer service when I answer to my own clients. This put me in a very awkward situation. One I will not repeat. 

Clearly I cannot trust Wayfair to have any integrity and do what they say they would; and after reading the comments here I'm starting to think I've just been lucky for the past 4 years.

My decision isn't based on one incident or the money. I can't take the chance it will happen again. And from the sounds of things, the odds are that it would."
Wayfair Canada,2021-01-18T23:30:25+00:00,1,"I bought sectional sofa, but it feels cheap quality and i put genuine review with pictures with 3 star, but way fair did not post it. I think if it is 5 star reviews, they will post right away. 
Genuine consumer reviews helps making right decision to buy product online. After covid lockdown i have purchased lot of thing online and reviews really helped me, but this was really disappointing."
Wayfair Canada,2021-01-18T21:55:08+00:00,1,They charged our credit card twice for the same order and we missed other transactions because the credit limit cap was reached. Very rude and unprofessional. Try to avoid them.
Wayfair Canada,2021-01-18T19:14:00+00:00,1,"Horrible experience. Due to covid I'm new to online ordering. 
Ordered product on January 13th, with expected delivery February 16th. Tried canceling the next day. Was denied because was shipped already. On January 14 called customer service to cancel was refused. 
Today January 18th my orders status preparing for shipping. Called again to find out is sitting in California warehouse. REFUSED TO CANCEL. 
Be aware, full of scammers. Once they take your money, not easy to get back"
Wayfair Canada,2021-01-17T03:06:02+00:00,1,Worst company of all time. Will NEVER shop with them again. Customer service Was awful and was lied to. Couldn’t even get a call back about my concerns. Had to call multiple times about being priced gouged only to never get a call back. Products are cheap and overpriced. Same products on “sister” websites sold cheaper with different names and won’t match the “different item”
Wayfair Canada,2021-01-16T05:45:14+00:00,5,"I had a very good experience with all my orders (maybe 10 or more)
Last one, a king mattress delivered in just 2 days.
I am very surprised of all the bad reviews."
Wayfair Canada,2021-01-15T19:38:49+00:00,1,"Wrong order sent by Wayfair; waited to have a replacement sent and was told coming out at the end of December 2020, was informed that the product wouldn't be available until November 2021. Now I'm left with the original wrong order that was more expensive than the first order (no price matching). Unfortunate. Won't shop with Wayfair anymore and I ordered a lot from them."
Wayfair Canada,2021-01-15T16:33:09+00:00,1,"My first and my last purchase.
I bought 2 sofa recliners from WayFair(I'd say WayUnFair) about a year ago. I Also got an extended warranty for them just in case. after a few months Sofa cushions tore apart from underneath the sofa, due to a design flaw. I opened a claim against Wayfair customer service and they deliberately ignored me until 1 year of warranty with them was over (we are talking about 1 month of me following up with their customer service and not getting any response back). Only when the warranty with WayFair was over a WayFair representative contacted me to say sorry for being late. I was informed that since the 1 year period was over I had to follow up with Uniters(The extended warranty service). Uniters of course didn't cover anything and also didn't respond properly on all of our attempts contacting them.

Anyway, I don't recommend buying anything from Wayfair and furthermore waste money on an extended warranty.

The Wayfair customer service stopped responding to me after I asked them to escalate my case to their managers.

The emails that come from Wayfair.ca have invalid links in them. I.e.: the section about rating experience with their customer service!

Very unprofessional and dishonest, I feel deceived and I won't trust Wayfair and Uniters again."
Wayfair Canada,2021-01-14T23:24:34+00:00,1,"A bought a mattress in a box for my elderly parents. Because the mattress weighed 100 pounds I had it delivered directly to their address. I told my parents to leave it in the living room until I could drive up on the weekend. However, I received a call when I was driving about a delivery that I thought was shipping to my home address in Mississauga as I had bought sheets, mattress protector etc for the bed as a surprise . The person  on the phone was very hard to understand and I told him someone was home, leave it with them/ outside the door.  A few hours later I received a call from my father who was very angry. Apparently the delivery is for Peterborough and the drive left it on the street outside the building.   Someone walking by called on the intercom and told my parents that there was a delivery for them.  My father, who is 95 yrs old,  is in bed and not well. My 85 year old mother, who has altimerzer had to find her way down stairs, and somehow got the box up a set of stair in to the lift, falling in the hall, in the process and into the apartment.  What I do not understand is  how you order something that is heavy and leave it outside, expecting that someone will be able to get it home? What was the point of having it delivered to you door when it is left on the street? Shame on FEDEX. . Also I now need to print a copy of the return label and mail or drive it to my parents who are 2.5 hours away as they do not have a printer. This is not customer service. My mother is totally confused and very upset at the experience. By the way the girl who was going to process the claim got cut off from me. Hopefully someone gives me a call to straighten this mess out.  ""I am  sorry"" would have been the way to start the conversation."
Wayfair Canada,2021-01-14T18:18:56+00:00,1,"I have ordered multiple items for our renovations and while the products themselves are (mostly) as described, the ""customer service"" department is abysmal. When purchasing, the advert indicates ""FREE DELIVERY on orders of $50 or more).......I ordered over $1,000 of bathroom accessories and despite the fact that these are smaller items, was charged, not once but twice, for Delivery to the tune of $38........The customer service rep that I spoke with was dismissive, arrogant and disrespectful........NEVER AGAIN!"
Wayfair Canada,2021-01-14T17:58:59+00:00,1,"I wish I had read these reviews before purchasing from Wayfair.  I accidentally placed the same order twice and literally, within about 10 minutes, they  had yanked the money off of my credit card before I had a chance to cancel one of the orders.  They cannot refund yet, have to wait to hear from the ""vendor"" - I actually thought I was ordering from Wayfair, but clearly they are the middleman taking a cut.  I have to wait for delivery, return the item and then await my refund.  What a racket.  Do NOT order from this company."
